"PNAME","TITLE_RAW","TOT.HOURS","TOT.COMP","title.standard","TitleTxt6","TitleTxt5","TitleTxt4","TitleTxt3","TitleTxt2","OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","F9_07_COMP_DTK_TITLE","F9_07_COMP_DTK_AVE_HOUR_WEEK","F9_07_COMP_DTK_AVE_HOUR_WEEK_RL","F9_07_COMP_DTK_POS_INDIV_TRUST_X","F9_07_COMP_DTK_POS_OFF_X","F9_07_COMP_DTK_COMP_ORG","F9_07_COMP_DTK_COMP_RLTD","F9_07_COMP_DTK_COMP_OTH","F9_07_COMP_DTK_POS_KEY_EMPL_X","F9_07_COMP_DTK_POS_INST_TRUST_X","F9_07_COMP_DTK_POS_HIGH_COMP_X","F9_07_COMP_DTK_EMPL_BEN","F9_07_COMP_DTK_POS_FORMER_X","date.x","Num.Titles","SCHED.O","SCHED.AT.LARGE","AS.NEEDED","EX.OFFICIO","CO","REGIONAL","FUTURE","FORMER","INTERIM","domain.category","domainl.label","soc.label","major.group","minor.group","broad.group","detailed.occupation","emp","ceo","c.level","dir.vp","mgr","spec","board","pres","vp","sec","treas","com"
"MISTY JOHNSON","VICE CHAIRMAN/DIRECTOR","2","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","VICE CHAIRMAN&DIRECTOR","VICE CHAIRMAN/DIRECTOR","201913029349300211","363809567","ILLINOIS HOTEL & LODGING EDUCATIONAL","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913029349300211_public.xml","VICE CHAIRMAN/DIRECTOR","2","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"MISTY JOHNSON","VICE CHAIRMAN/DIRECTOR","2","0","BOARD VICE PRESIDENT","VICE CHAIR","VICE CHAIR","VICE CHAIRMAN","VICE CHAIRMAN&DIRECTOR","VICE CHAIRMAN/DIRECTOR","201913029349300211","363809567","ILLINOIS HOTEL & LODGING EDUCATIONAL","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913029349300211_public.xml","VICE CHAIRMAN/DIRECTOR","2","0","1","1","0","0","0","0","0","0",NA,"0","0","2","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","X","","",""
"MARGARET RICE","BOARD MEMBER","2","0","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","201943229349200339","364024545","ROTARY CLUB OF CAMAS-WASHOUGAL","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943229349200339_public.xml","BOARD MEMBER","2","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"HOWARD GOTTLIEB","DIRECTOR","2","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","202020629349300207","364449110","CHICAGO'S NORTH SHORE CONVENTION AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020629349300207_public.xml","DIRECTOR","2","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"Ed Anderson","Director","2","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","202021539349200047","370755871","Western Illinois Youth Camp Association","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021539349200047_public.xml","DIRECTOR","2","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"SENAIDA HUDSON","BOARD CHAIR","2","0","BOARD PRESIDENT","BOARD CHAIR","BOARD CHAIR","BOARD CHAIR","BOARD CHAIR","BOARD CHAIR","202012269349302336","382577323","NEWAYGO COUNTY PREVENTION OF CHILD","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202012269349302336_public.xml","BOARD CHAIR","2","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","X","","","",""
"STEVE RINNE","DIRECTOR","2","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201902409349300835","430994417","SHEPHERD'S CENTER OF KANSAS CITY","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902409349300835_public.xml","DIRECTOR","2","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"LARA HEBERT","DIRECTOR","2","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","202010629349300801","461643964","DREAAM OPPORTUNITY CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010629349300801_public.xml","DIRECTOR","2","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"RON ATTMAN","IMMEDIATE PAST PRESIDENT","2","0","BOARD PRESIDENT","PRESIDENT","IMMEDIATE PAST PRESIDENT","IMMEDIATE PAST PRESIDENT","IMMEDIATE PAST PRESIDENT","IMMEDIATE PAST PRESIDENT","202001979349300110","520607909","JEWISH COMMUNITY SERVICES INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001979349300110_public.xml","IMMEDIATE PAST PRESIDENT","2","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","1","0","board","board","","","","","","","","","","","","X","X","","","",""
"RON ATTMAN","IMMEDIATE PAST PRESIDENT","2","0","CEO","PRESIDENT","IMMEDIATE PAST PRESIDENT","IMMEDIATE PAST PRESIDENT","IMMEDIATE PAST PRESIDENT","IMMEDIATE PAST PRESIDENT","202001979349300110","520607909","JEWISH COMMUNITY SERVICES INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001979349300110_public.xml","IMMEDIATE PAST PRESIDENT","2","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","1","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"Aniket Shah","BOARD CHAIR (through 09/18)","2","0",NA,"BOARD CHAIR ( )","BOARD CHAIR (THROUGH )","BOARD CHAIR (THROUGH )","BOARD CHAIR (THROUGH )","BOARD CHAIR (THROUGH )","201912469349300601","520851555","AMNESTY INTERNATIONAL OF THE USA INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912469349300601_public.xml","BOARD CHAIR (THROUGH 09/18)","2","0","1","0","0","0","0","0","0","0",NA,"0","1","1","0","0","0","0","0","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J KEMPER FUNKHOUSER","VICE PRESIDENT","2","0","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","201901009349300810","540461014","VIRGINIA ASSOCIATION OF REALTORS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901009349300810_public.xml","VICE PRESIDENT","2","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"MIKE NOEL","HH DISTRICT CHAIRMAN","2","0",NA,"HH  CHAIR","HH DISTRICT CHAIR","HH DISTRICT CHAIRMAN","HH DISTRICT CHAIRMAN","HH DISTRICT CHAIRMAN","201931649349301123","550357015","ALLOHAK COUNCIL INC - NO 618","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931649349301123_public.xml","HH DISTRICT CHAIRMAN","2","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JERRY HARTZOG","TREASURER","2","0","TREASURER","TREASURER","TREASURER","TREASURER","TREASURER","TREASURER","201902199349300325","570802283","PET HELPERS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902199349300325_public.xml","TREASURER","2","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","X",""
"MARGARET ELROD","PRESIDENT","2","0","BOARD PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","202010449349300421","581949659","SHREVEPORT SYMPHONY ORCHESTRA FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010449349300421_public.xml","PRESIDENT","1","1","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","X","","","",""
"MARGARET ELROD","PRESIDENT","2","0","CEO","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","202010449349300421","581949659","SHREVEPORT SYMPHONY ORCHESTRA FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010449349300421_public.xml","PRESIDENT","1","1","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"BRENDA FOYE-CORNELIUS","BOARD MEMBER","2","0","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","201913189349303176","582634738","QUEST COMMUNITY DEVELOPMENT","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913189349303176_public.xml","BOARD MEMBER","2","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"ED BECKER","SECRETARY","2","0","BOARD SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","201940219349200314","911384586","NORTHWEST SIGN COUNCIL","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201940219349200314_public.xml","SECRETARY","2","0",NA,NA,"0",NA,"0",NA,NA,NA,"0",NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","X","",""
"DAVID LAZAR","BOARD MEMBER","2","0","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","202021539349301942","946106198","San Francisco Police Activities League","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021539349301942_public.xml","BOARD MEMBER","2","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"BRIAN MCDONALD","RECORDER","1","0",NA,"RECORDER","RECORDER","RECORDER","RECORDER","RECORDER","202041979349307834","043143620","ADELPHI COUNCIL 4181 KNIGHTS OF COLUMBUS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349307834_public.xml","RECORDER","1","0","0","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMI LOWER","DIRECTOR","1","3000","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201932779349200618","043352730","NANTUCKET STUDENT LACROSSE INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932779349200618_public.xml","DIRECTOR","1","0",NA,NA,"3000",NA,"0",NA,NA,NA,"0",NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"SANDY COHEN","BOARD MEMBER","1","0","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","202021649349301802","111986300","Adult Resources Center Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021649349301802_public.xml","BOARD MEMBER","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"ROGER MARINO","TRUSTEE","1","0","BOARD MEMBER","TRUSTEE","TRUSTEE","TRUSTEE","TRUSTEE","TRUSTEE","201932139349200313","113128658","UNITED TEAMSTER LEGAL SERVICES FUND","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932139349200313_public.xml","TRUSTEE","1","0",NA,NA,"0",NA,"0",NA,NA,NA,"0",NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"JANE G PARKER","BOARD MEMBER","1","0","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","201933059349301653","222575208","BETHANY HOME FOUNDATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933059349301653_public.xml","BOARD MEMBER","0.5","0.5","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"CAROLYN MORGAN","TRUSTEE","1","1632","BOARD MEMBER","TRUSTEE","TRUSTEE","TRUSTEE","TRUSTEE","TRUSTEE","201902349349301435","237016872","AMERICAN POSTAL WORKERS UNION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902349349301435_public.xml","TRUSTEE","1","0","1","0","1632","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"BRIAN BERNSKOETTER","Director","1","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201931639349300708","430953286","JEFFERSON CITY AREA YMCA","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931639349300708_public.xml","DIRECTOR","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"YVONNE HARRIS","DIRECTOR","1","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201913189349303416","455597137","INSIDE OUT FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913189349303416_public.xml","DIRECTOR","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"KEN BREAW","DIRECTOR (UNTIL 11/18)","1","0",NA,"DIRECTOR ( )","DIRECTOR (UNTIL )","DIRECTOR (UNTIL )","DIRECTOR (UNTIL )","DIRECTOR (UNTIL )","201923129349201477","460378935","SIOUX RESIDENTIAL SERVICES INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923129349201477_public.xml","DIRECTOR (UNTIL 11/18)","1","0",NA,NA,"0",NA,"0",NA,NA,NA,"0",NA,"1","1","0","0","0","0","0","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOSHUA MIHESUAH","DIRECTOR","1","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201933129349303283","480796320","UNITED WAY OF DOUGLAS COUNTY INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933129349303283_public.xml","DIRECTOR","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"JUAN GONZALEZ","DIRECTOR","1","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201931689349301083","521249353","WASHINGTON OFFICE ON LATIN AMERICA","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931689349301083_public.xml","DIRECTOR","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"GRAHAM LEE","Director","1","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201932499349200118","521814730","EASTON CHORAL ARTS SOCIETY INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932499349200118_public.xml","DIRECTOR","1","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"JOHN E SUTHERS","DIRECTOR","1","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","202020139349301022","581030868","CHATHAM CLUB INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020139349301022_public.xml","DIRECTOR","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"Gary Morris","Treasurer","1","0","TREASURER","TREASURER","TREASURER","TREASURER","TREASURER","TREASURER","201922499349300237","581394645","Medlink Georgia Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922499349300237_public.xml","TREASURER","1","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","X",""
"ROBERT PFEIFFER","PAST PRESIDENT","1","0","BOARD PRESIDENT","PRESIDENT","PAST PRESIDENT","PAST PRESIDENT","PAST PRESIDENT","PAST PRESIDENT","202010489349300546","592480884","BRADENTON ROTARY FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010489349300546_public.xml","PAST PRESIDENT","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","1","0","board","board","","","","","","","","","","","","X","X","","","",""
"ROBERT PFEIFFER","PAST PRESIDENT","1","0","CEO","PRESIDENT","PAST PRESIDENT","PAST PRESIDENT","PAST PRESIDENT","PAST PRESIDENT","202010489349300546","592480884","BRADENTON ROTARY FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010489349300546_public.xml","PAST PRESIDENT","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","1","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"DAVID TOMITA","DIRECTOR","1","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201923539349300207","621765785","CHILDREN'S ADVOCACY CENTER OF THE FIRST","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923539349300207_public.xml","DIRECTOR","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"ERIC HUGHES","DIRECTOR","1","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","202040419349300914","640507939","THREE RIVERS PLANNING & DEVELOPMENT","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040419349300914_public.xml","DIRECTOR","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"BOB PEEPLES","DIRECTOR","1","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","202040419349300914","640507939","THREE RIVERS PLANNING & DEVELOPMENT","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040419349300914_public.xml","DIRECTOR","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"Mitch Hiscocks","Director","1","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201922039349301557","751563859","Academy of Veterinary Consultants Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922039349301557_public.xml","DIRECTOR","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"CHARLES SCHEPENS","DIRECTOR","1","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201903199349207940","760269842","SCHEPENS INTERNATIONAL SOCIETY INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903199349207940_public.xml","DIRECTOR","1","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"MICHAEL GIORDANO","SECRETARY/TR","1","0","BOARD SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY&TR","SECRETARY/TR","201900659349200325","811332308","OHIO LABORERS' RETIREE COUNCIL","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201900659349200325_public.xml","SECRETARY/TR","1","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","2","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","X","",""
"MICHAEL GIORDANO","SECRETARY/TR","1","0","TREASURER","TREASURER","TREASURER","TR","SECRETARY&TR","SECRETARY/TR","201900659349200325","811332308","OHIO LABORERS' RETIREE COUNCIL","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201900659349200325_public.xml","SECRETARY/TR","1","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","X",""
"Ann Anthony","Director","1","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","202011929349201431","821503127","Friends of Fishers Island Theater Inc","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011929349201431_public.xml","DIRECTOR","1","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"Joanne Pearlman","Treasurer","1","0","TREASURER","TREASURER","TREASURER","TREASURER","TREASURER","TREASURER","202041349349200414","832012184","National Postsecondary Strategy","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041349349200414_public.xml","TREASURER","1","0",NA,NA,"0",NA,"0",NA,NA,NA,"0",NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","X",""
"CLAYTON DOWELL","SGT AT ARMS","1","0","SERGEANT AT ARMS","SERGEANT AT ARMS","SERGEANT AT ARMS","SGT AT ARMS","SGT AT ARMS","SGT AT ARMS","201922669349301152","920013113","LABORERS INTERNATIONAL UNION OF","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922669349301152_public.xml","SGT AT ARMS","1","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"MIRIAM DYM","DIRECTOR","1","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","202040369349300239","942952488","THE LAB SF","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040369349300239_public.xml","DIRECTOR","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"JOHN SANFORD JR","BOARD MEMBER","1","0","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","202021539349301942","946106198","San Francisco Police Activities League","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021539349301942_public.xml","BOARD MEMBER","1","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"Christine L Quinn DDS MS","Secretary","1","0","BOARD SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","201931599349300703","954046021","California Dental Society","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931599349300703_public.xml","SECRETARY","1","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","X","",""
"KENNETH BALDYGA","CHAIRMAN","0.85","0","BOARD PRESIDENT","CHAIR","CHAIR","CHAIRMAN","CHAIRMAN","CHAIRMAN","202012309349301316","222560257","GRIFFIN HEALTH SERVICES CORPORATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202012309349301316_public.xml","CHAIRMAN","0.23","0.62","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","X","","","",""
"DANIRA ORTIZ","BOARD MEMBER","0.5","0","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","201933129349301503","050475365","CONNECTING FOR CHILDREN AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933129349301503_public.xml","BOARD MEMBER","0.5","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"GINA DABNEY","DIRECTOR","0.5","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201903159349301405","521338092","CENTER FOR THE ARTS OF GREATER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903159349301405_public.xml","DIRECTOR","0.5","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"ROBERT C LEE","STEWARD","0.5","1580",NA,"STEWARD","STEWARD","STEWARD","STEWARD","STEWARD","202020079349200117","570377916","COMMUNICATIONS WORKERS OF AMERICA","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020079349200117_public.xml","STEWARD","0.5","0",NA,NA,"1580",NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAYE CHON","BOARD MEMBER","0.5","0","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","201943179349301739","941244384","PACIFIC ASIA TRAVEL ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943179349301739_public.xml","BOARD MEMBER","0.5","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"DAVID O BROWN","TRUSTEE","0.25","0","BOARD MEMBER","TRUSTEE","TRUSTEE","TRUSTEE","TRUSTEE","TRUSTEE","201903189349311915","750945939","SOUTHWESTERN MEDICAL FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903189349311915_public.xml","TRUSTEE","0.25","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
